episode,timestep,reward
1409,196320,107.3163
1411,196800,151.1082
1413,197280,156.7477
1415,197760,162.0634
1417,198240,123.9079
1419,198720,146.2366
1421,199200,156.5669
1423,199680,161.9737
1425,200160,151.4809
1427,200640,156.4645
1429,201120,149.6012
1432,201600,135.0571
1434,202080,145.8944
1436,202560,154.6203
1438,203040,141.4123
1440,203520,151.4742
1442,204000,150.5862
1444,204480,134.9672
1446,204960,143.1171
1448,205440,149.5218
1450,205920,153.9549
1452,206400,151.0549
1454,206880,162.5626
1456,207360,153.7794
1458,207840,144.3069
1460,208320,151.4881
1462,208800,112.8413
1464,209280,148.8926
1466,209760,151.7383
1468,210240,157.1772
1470,210720,162.2659
1472,211200,170.4884
1474,211680,145.8976
1476,212160,162.3344
1478,212640,165.4631
1481,213120,110.6764
1483,213600,157.031
1485,214080,160.7946
1487,214560,159.7241
1490,215040,125.7057
1492,215520,154.5677
1494,216000,147.1638
1496,216480,154.4385
1498,216960,157.9531
1500,217440,102.537
1502,217920,150.4509
1504,218400,76.7701
1506,218880,145.4609
1508,219360,163.3087
1510,219840,156.3089
1512,220320,163.9997
1515,220800,133.0997
1517,221280,150.7668
1519,221760,162.8519
1521,222240,173.2399
1523,222720,160.1918
1525,223200,154.1711
1527,223680,152.8831
1529,224160,145.3899
1531,224640,108.67
1533,225120,127.3839
1535,225600,134.5848
1537,226080,126.9939
1539,226560,145.4311
1541,227040,164.2808
1544,227520,109.0243
1546,228000,142.1088
1549,228480,123.4439
1551,228960,116.3239
1553,229440,148.4538
1555,229920,147.0601
1557,230400,107.5392
1560,230880,106.9373
1562,231360,113.5504
1564,231840,166.9155
1566,232320,143.7203
1568,232800,126.3768
1570,233280,158.2745
1572,233760,145.3359
1574,234240,120.4922
1577,234720,123.9153
1580,235200,98.984
1582,235680,154.0067
1584,236160,158.6266
1586,236640,148.228
1588,237120,155.1061
1590,237600,151.2556
1592,238080,119.3156
1594,238560,147.4013
1596,239040,154.2535
1598,239520,146.7984
1601,240000,57.6096
1603,240480,142.71
1605,240960,148.9271
1607,241440,164.0187
1610,241920,117.3867
1612,242400,158.1932
1614,242880,115.6677
1616,243360,125.7665
1619,243840,118.1775
1621,244320,151.8889
1623,244800,136.0943
1625,245280,156.0927
1627,245760,140.5877
1629,246240,99.2096
1632,246720,93.2623
1634,247200,122.8705
1636,247680,144.094
1638,248160,90.3185
1640,248640,124.3794
1643,249120,94.3957
1645,249600,142.4012
1648,250080,105.2871
1650,250560,153.3461
1652,251040,117.3596
1654,251520,108.0156
1656,252000,146.8967
1658,252480,132.847
1660,252960,137.1301
1663,253440,118.2583
1665,253920,149.5897
1667,254400,110.5731
1669,254880,130.1874
